Date,Body Weight (KG),Body Weight (LB),Workout Name,Exercise Name,Set Order,Weight (KG),Weight (LB),Reps,Notes
di 18 aug 2026,,,GZCLP rack Intro,Squat,1,60.0,132.28,10,sessie 0 (intro); ATX bar 11kg counts-as 10 + 2x25/kant
di 18 aug 2026,,,GZCLP rack Intro,Squat,2,60.0,132.28,10,
